,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2012-10-01,6.231232628425,6.115605510765,5.284510134042,2.206444707393,5.004774069114,4.469458296889,2.53261777474,6.458482133548,6.425394101309,4.711137725926,5.963200198403,1.663743472141,5.954202200067,5.386016537758,5.963976305658,4.239562746897,3.890215223175,6.005994314727,5.644919751743,3.002636055938,3.687397039716,5.485250440594,4.624961543828,3.589544327087,5.286453985065,6.628106106396,6.006067308404,7.061025860688,5.796261718797,3.944677442925,3.360644936041,5.117560700277
2012-09-01,6.31049468223,6.940521423672,4.819062346074,2.278429778801,5.296781170051,4.768067816621,2.396601232523,6.52833429403,6.381425810272,5.415200775782,6.064600831388,1.649757059971,4.585058892661,4.827066368164,5.927911144784,4.308379649342,3.687032500593,5.779630192693,5.79843019251,3.205999666182,3.786975245204,5.004456677431,4.763403940617,3.590771405421,5.054617068817,7.309685214282,5.667700962562,7.34985528731,5.716332506426,4.014618653701,3.603435778045,5.069965773697
2012-08-01,6.387908105674,6.982904564797,4.979535956832,2.056188052119,5.119427642239,4.698446931794,2.322611562596,6.489100427136,6.686351035114,6.204978077255,5.935580397869,1.817839459687,4.839921057457,4.85351551043,5.867347948604,3.760123662868,3.505360659144,5.622393603335,6.016312410235,3.192010851983,3.99613815353,4.531784465251,4.741874000545,3.273179892263,4.791421360599,6.91669546414,5.32608479386,7.172798368375,5.813121465286,3.665213684921,3.146038084024,5.279712716672
2012-07-01,6.276046649442,6.710877383142,4.704468248491,2.09093442426,5.577723134219,4.249813674827,2.168583161702,6.297304955109,6.665479462839,7.224285875089,5.758578412843,1.828839799309,3.997486654719,4.009942276574,5.825244400769,3.05673138784,3.172079031852,5.040256178055,5.847881585311,2.657214606367,4.063683966964,4.511834680152,4.102443277722,3.44342199303,4.366427362068,6.233743991185,5.626097401075,6.860328042265,5.866934321845,3.569156271554,2.429377224145,4.573229004579
2012-06-01,6.071702782796,6.223619570172,4.86721343293,2.281608269145,5.514663787595,3.975282370533,2.172400980419,6.592926104888,6.327272899191,6.59243867454,5.940257650566,1.521116521536,4.624185441044,4.589250785254,5.837495810917,2.991632284424,3.107949200195,4.976023708869,6.332714091176,2.370547284214,4.052583718223,4.152187711385,3.982524440669,3.072045697119,4.084104999977,5.269407795617,5.97439245739,5.985892092711,5.916455863536,3.423791403762,2.250792216922,4.958127201138
2012-05-01,6.173607463865,5.825016782455,4.317204623691,2.144103992524,5.79688394491,3.8727803408,2.117008829616,6.963757788875,5.785785533673,5.631550156467,6.225672823711,1.792175747551,4.731404151126,4.311491357197,5.76411603489,3.230846507655,2.910665465878,5.191713241975,6.064943296175,2.149940321349,4.023599976086,4.810313818063,3.472104089554,2.959629541414,4.501769508527,5.661287188418,5.766162964563,5.842215726141,6.28738835926,3.065859687092,2.081661727849,5.535888651221
2012-04-01,6.690225235331,5.72525469089,5.054116004944,1.945674576987,5.971553039029,4.1142325628,2.029489446818,7.142542135682,6.143815422198,5.571311942357,6.929549252871,2.21851717347,4.96698317744,4.925325386695,5.935095411779,3.672463582391,3.305855557615,4.935904037169,6.2443835503,2.270675679721,3.799228408636,4.690143385843,3.605025123694,2.597069882661,4.453646368277,6.288580342435,5.590419288738,6.053616809559,6.05525738787,3.072687557326,2.415370096846,6.218341625993
2012-03-01,6.68577975881,5.676462330679,5.606099281038,1.940740680409,5.69068714185,4.259641087396,2.107597091353,7.06375368936,6.044740392185,5.220657612195,6.840968615858,2.584740134279,4.560231068517,4.388060747209,6.247415904749,3.3136483956,3.278938121708,5.003128779041,5.586759016384,2.476111284295,3.797379990836,5.258195824512,3.559665455236,2.909042542013,4.510706653345,7.039580796182,5.264026591522,6.733755472523,5.723808143276,3.358530801385,2.794831616737,6.539077211713
2012-02-01,6.535950833068,6.348673460995,5.434780700345,2.253994241688,5.99908947619,4.522062281948,2.206972671431,6.788874979611,6.304486615839,6.161810789929,6.426996593647,2.32801892983,4.185633399788,4.752448733503,6.118234902143,2.899953785747,3.223803819994,4.951623209625,5.342125419056,2.615372289514,3.865413312737,5.516760360885,3.617357933049,2.979461693509,4.093120159161,6.651464290373,5.231212316417,7.349271258271,5.243967761549,3.292936800577,2.757903928223,6.08053611649
2012-01-01,6.512756653693,6.709884756814,4.863746418802,2.411817843298,5.876942630968,4.439304229033,2.318581324576,6.200058163388,5.952837829928,5.27723922292,5.530190871587,2.317842280485,4.535394583257,4.892698683196,5.936197212193,2.496781461688,2.755479599815,5.15300631733,5.078643241051,2.853054280776,4.271739634716,5.452985971365,4.044739711278,2.991153619991,3.849187219474,6.642155754234,5.475085342981,6.893407299145,5.546948676104,3.315426171575,2.750930501334,6.15482225389
